Gold Rate(BDT/GRAM),,,,
Date,22 KARAT Gold,21 KARAT Gold,18 KARAT Gold,TRADITIONAL Gold
28:October:2024,12170,11617,9957,8181
29:October:2024,12170,11617,9957,8181
30:October:2024,12170,11617,9957,8181
31:October:2024,12305,11746,10068,8275
01:November:2024,12305,11746,10068,8275
02:November:2024,12305,11746,10068,8275
04:November:2024,12305,11746,10068,8275
05:November:2024,12188,11634,9972,8194
06:November:2024,12188,11634,9972,8194
07:November:2024,12188,11634,9972,8194
08:November:2024,11892,11351,9730,7987
09:November:2024,11892,11351,9730,7987
10:November:2024,11892,11351,9730,7987
11:November:2024,11892,11351,9730,7987
12:November:2024,11892,11351,9730,7987
13:November:2024,11676,11145,9553,7837
14:November:2024,11676,11145,9553,7837
15:November:2024,11532,11008,9436,7736
16:November:2024,11532,11008,9436,7736
17:November:2024,11532,11008,9436,7736
18:November:2024,11532,11008,9436,7736
19:November:2024,11532,11008,9436,7736
20:November:2024,11784,11248,9641,7912
21:November:2024,11784,11248,9641,7912
22:November:2024,11955,11411,9781,8031
23:November:2024,11955,11411,9781,8031
24:November:2024,12197,11643,9979,8200
25:November:2024,12197,11643,9979,8200
26:November:2024,12035,11488,9847,8087
27:November:2024,11793,11257,9649,7918
28:November:2024,11892,11351,9730,7987
29:November:2024,11892,11351,9730,7987
30:November:2024,11892,11351,9730,7987
01:December:2024,11892,11351,9730,7987
02:December:2024,11765,11231,9627,7899
03:December:2024,11765,11231,9627,7899
04:December:2024,11765,11231,9627,7899
05:December:2024,11765,11231,9627,7899
